"CDE_UPLOAD2"
"Report Universes : (1) EQ_DEMO_WEIGHT_1 (2) EQ_DEMO_WEIGHT_2 (3) EQ_DEMO_WEIGHT_3 (4) EQ_DEMO_WEIGHT_4"
"Report Period  As Of : SpecifiedDates, 7/18/2024"
"Currency : USD"
"Created On : 19 Jul 2024 13:32"
"Report Type : Market Structure Report"

"","% Wgt","% Wgt","% Wgt","% Wgt"
"","EQ_DEMO_WEIGHT_1","EQ_DEMO_WEIGHT_2","EQ_DEMO_WEIGHT_3","EQ_DEMO_WEIGHT_4"
"Total","100.00","100.00","100.00","100.00"
"ABT US","2.63","2.63","2.63","2.63"
"ADBE US","2.63","2.63","2.63","2.63"
"AMCR US","2.63","2.63","2.63","2.63"
"BA US","3.00","2.99","3.00","3.00"
"BLK US","2.63","2.63","2.63","2.63"
"BSX US","2.63","2.63","2.63","2.63"
"CBA AU","2.00","2.49","2.00","2.00"
"D US","3.00","2.63","3.00","3.00"
"DAL US","2.63","2.63","2.63","2.63"
"DE US","2.63","2.63","2.63","2.63"
"DIS US","2.63","2.63","2.63","2.63"
"DVN US","2.63","2.63","2.63","2.63"
"EA US","2.63","2.63","2.63","2.63"
"EL US","2.63","2.63","2.63","2.63"
"GE US","2.63","2.63","2.63","2.63"
"GEHC US","2.63","2.63","2.63","2.63"
"GIS US","2.63","2.63","2.63","2.63"
"GM US","2.63","2.63","2.63","2.63"
"GOOGL US","2.63","2.63","2.63","2.63"
"HD US","2.63","2.63","2.63","2.63"
"JPM US","2.63","2.63","2.63","2.63"
"K US","2.63","2.63","2.63","2.63"
"KMB US","2.63","2.63","2.63","2.63"
"KO US","2.63","2.63","2.63","2.63"
"LOW US","2.63","2.63","2.63","2.63"
"MAR US","2.63","2.63","2.63","2.63"
"MMM US","2.63","2.63","2.63","2.63"
"NKE US","2.63","2.63","2.63","2.63"
"PLUG US","2.63","2.63","2.63","2.63"
"SLB US","2.63","2.63","2.63","2.63"
"SNAP US","2.63","2.63","2.63","2.63"
"SPOT US","2.63","2.63","2.63","2.63"
"SQ US","2.63","2.63","2.63","2.63"
"T US","2.63","2.63","2.63","2.63"
"TWLO US","2.63","2.63","2.63","2.63"
"V US","2.63","2.63","2.63","2.63"
"WDAY US","2.63","2.63","2.63","2.63"
"WMT US","2.63","2.63","2.63","2.63"
"Disclaimer: The format and content of this report may not be modified or altered (including, but not limited to, via deletion or addition) in any way. The BLOOMBERG PROFESSIONAL service, BLOOMBERG Data and BLOOMBERG Reporting (the ""Services"") are owned and distributed locally by Bloomberg Finance L.P. (""BFLP"") and its subsidiaries in all jurisdictions other than Argentina, Bermuda, China, India, Japan and Korea (the ""BLP Countries""). BFLP is a wholly-owned subsidiary of Bloomberg L.P. (""BLP""). BLP Provides BFLP with global marketing and operational support and service for the Services and distributes the Services either directly or through a non-BFLP subsidiary in the BLP Countries. BFLP, BLP and their affiliates do not provide investment advice or guarantee the accuracy of prices or information in the Services. Nothing on the Services shall constitute an offering of financial instruments by BFLP, BLP or their affiliates."
