Identifier,Return,Expected Return,Date
AN8068571086,-0.71,-0.552982657,8/31/2023
BMG0450A1053,3.71,3.803547156,8/31/2023
BMG3223R1088,3.52,3.646963894,8/31/2023
BMG491BT1088,-8.79,-8.756791739,8/31/2023
BMG667211046,-0.54,-0.363058896,8/31/2023
CH0044328745,4.06,4.212940054,8/31/2023
CH0102993182,-6.69,-6.657792458,8/31/2023
CH0114405324,-0.09,-0.057693098,8/31/2023
CH1300646267,-5.31,-5.300492387,8/31/2023
IE000S9YS762,-3.48,-3.312725377,8/31/2023
IE00B4BNMY34,-5.15,-5.124349616,8/31/2023
IE00B8KQN827,-7.42,-7.300973351,8/31/2023
IE00BDB6Q211,1.46,1.65413178,8/31/2023
IE00BFRT3W74,-8.05,-7.881907136,8/31/2023
IE00BFY8C754,-4.21,-4.036114414,8/31/2023
IE00BK9ZQ967,-1.14,-1.047047796,8/31/2023
IE00BKVD2N49,-5.83,-5.775540052,8/31/2023
IE00BLP1HW54,-2.75,-2.68031375,8/31/2023
IE00BLS09M33,-7.84,-7.792031331,8/31/2023
IE00BTN1Y115,-3.03,-3.023821548,8/31/2023
IE00BY7QL619,-9.3,-9.261265775,8/31/2023
JE00B783TY65,-2.82,-2.638771513,8/31/2023
JE00BJ1F3079,-4.71,-4.558567473,8/31/2023
LR0008862868,-6.87,-6.748892083,8/31/2023
NL0009434992,-4.12,-3.962304286,8/31/2023
NL0009538784,-2.33,-2.143750939,8/31/2023
PA1436583006,-13.27,-13.22185605,8/31/2023
US0010551028,2.92,2.998176918,8/31/2023
US00130H1059,-15.23,-15.20238296,8/31/2023
US00206R1023,1.56,1.604479843,8/31/2023
US0028241000,-5.88,-5.805286318,8/31/2023
US00287Y1091,1.43,1.593441445,8/31/2023
US00507V1098,1.78,1.899424727,8/31/2023
US00724F1012,-8.84,-8.715141468,8/31/2023
US0079031078,-2.74,-2.671326625,8/31/2023
US00846U1016,-7.64,-7.525361719,8/31/2023
US0090661010,-3.88,-3.71983125,8/31/2023
US0091581068,-3.5,-3.48070048,8/31/2023
US00971T1016,1.38,1.384766038,8/31/2023
US0116591092,-11.65,-11.49745109,8/31/2023
US0126531013,-14.24,-14.13200421,8/31/2023
US0152711091,-12.88,-12.85821392,8/31/2023
US0162551016,-17.51,-17.37709424,8/31/2023
US0188021085,-3.43,-3.379492623,8/31/2023
US0200021014,3.34,3.530042888,8/31/2023
US02079K1079,-4,-3.956479056,8/31/2023
US02079K3059,-3.9,-3.881879718,8/31/2023
US02209S1033,-2.79,-2.757682366,8/31/2023
US0231351067,-7.89,-7.74962404,8/31/2023
US0236081024,-4.85,-4.666923661,8/31/2023
US02376R1023,-13.03,-12.89732528,8/31/2023
US0255371017,-4.06,-3.959828537,8/31/2023
US0258161092,-5.57,-5.387227943,8/31/2023
US0268747849,4.16,4.19116986,8/31/2023
US03027X1000,-9.3,-9.254473875,8/31/2023
US0304201033,-10.75,-10.60026087,8/31/2023
US03073E1055,2.27,2.342194382,8/31/2023
US03076C1062,-2.34,-2.300470749,8/31/2023
US0311001004,-7.21,-7.067439584,8/31/2023
US0311621009,4.85,5.041917381,8/31/2023
US0320951017,-4.74,-4.602275874,8/31/2023
US0326541051,-3.23,-3.144569209,8/31/2023
US03662Q1058,-6.69,-6.655962147,8/31/2023
US0367521038,-1.17,-1.07339506,8/31/2023
US03743Q1085,-6.25,-6.159984948,8/31/2023
US0378331005,-8.87,-8.757699414,8/31/2023
US0382221051,-9.37,-9.20956329,8/31/2023
US0394831020,-4.89,-4.751636539,8/31/2023
US0404131064,-5.79,-5.762572195,8/31/2023
US04621X1081,3.05,3.111892637,8/31/2023
US0495601058,-8.64,-8.541751087,8/31/2023
US0527691069,-6.77,-6.769114686,8/31/2023
US0530151036,-5.04,-4.885898047,8/31/2023
US0533321024,0.34,0.517808272,8/31/2023
US0534841012,-5.67,-5.504302968,8/31/2023
US0536111091,-2.6,-2.5203721,8/31/2023
US05464C1018,-6.54,-6.399079716,8/31/2023
US05722G1004,-2.4,-2.358033355,8/31/2023
US0584981064,-8.58,-8.397782491,8/31/2023
US0605051046,-4.5,-4.452195449,8/31/2023
US0640581007,-4.95,-4.94358502,8/31/2023
US0708301041,-8.33,-8.320845399,8/31/2023
US0718131099,-7.04,-6.930310715,8/31/2023
US0758871091,-7.17,-6.994635872,8/31/2023
US0844231029,3.6,3.745623474,8/31/2023
US0846707026,-2.75,-2.652239486,8/31/2023
US0865161014,-7.95,-7.77180398,8/31/2023
US0905722072,-10.43,-10.26308087,8/31/2023
US09062X1037,-3.87,-3.743153767,8/31/2023
US09073M1045,-13.18,-13.00121072,8/31/2023
US09247X1019,-7.05,-6.966082908,8/31/2023
US09260D1072,-5.84,-5.640811273,8/31/2023
US0970231058,-14.44,-14.36880544,8/31/2023
US09857L1089,-0.68,-0.604279464,8/31/2023
US0997241064,-0.93,-0.881887139,8/31/2023
US1011211018,-9.44,-9.396728035,8/31/2023
